 ,sa_score,logp,qed,heavy_atom_count,molecular_weight,h_bond_donors,h_bond_acceptors,lipinski_violations,pass_lipinski,ring_3_count,ring_3_prob,ring_4_count,ring_4_prob,ring_5_count,ring_5_prob,ring_6_count,ring_6_prob,ring_7_count,ring_7_prob,ring_8_count,ring_8_prob,ring_9_count,ring_9_prob,ring_10_count,ring_10_prob,ring_11_count,ring_11_prob,total_rings,error
C12=C3C(=NC(=O)N(C3)C)CC=C1C1=C(C2)[C@H](CCO1)C,4.555786478,2.8337,0.678928803,20,270.1368278,0,2,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
CC1=C2C[C@H]3C(=C2C(=O)N1)C[C@@H]1NN=C2[C@@H](N=C[C@H]31)c1c(cc(Cl)cc1)N2,5.073990938,2.9029,0.648226807,27,379.1199879,3,5,0,TRUE,0,0,0,0,4,0.666666667,1,0.166666667,0,0,1,0.166666667,0,0,0,0,0,0,6,
C[C@H](C=C1CCC2=C1C=C[C@H]([C@@H]2O)[C@@](O)(C1=NC[C@@H](N1)C(=N)N)F)C(=O)N,5.616217366,-0.36413,0.284634205,27,377.1863178,6,6,1,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c12c(c3cc4CC5=C(C(=O)N6[C@@H]5c5c(nccc5)C6)c4c(=O)nc3o1)CCO2,4.298326751,1.9247,0.600243438,28,371.0906059,0,6,0,TRUE,0,0,0,0,5,0.714285714,1,0.142857143,1,0.142857143,0,0,0,0,0,0,0,0,7,
N(C(=O)[C@@H](c1c(cccc1)O)O)c1cc(C)ncn1,2.758351434,1.16272,0.768457672,19,259.0956913,3,5,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
Oc1cc2-c3ccccc3Cc2cc1C=N,2.626149479,2.96107,0.594421584,16,209.084064,2,2,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
N1C2=C(CC=C(C2)Cl)[C@H](C1=O)C[C@H](C)CO,4.446049234,1.9215,0.793309167,16,241.0869564,2,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
N1C2=C3C(=C[C@@H]4N5N[C@H](CC5=CC=C4[C@@H]2C1)OC)C[C@@H]1OC2=CC=CCC2=C=CN=C31,6.133215516,2.9015,0.64893902,31,412.189926,2,6,0,TRUE,0,0,1,0.142857143,2,0.285714286,2,0.285714286,1,0.142857143,1,0.142857143,0,0,0,0,0,0,7,
c12c(cc3c(n1)cccc3)C1=CCS[C@H]1C2,3.421106354,3.2897,0.68208002,16,225.0612204,0,2,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
O[C@H]1c2c(cccc2)On2cnc(=O)c(c12)C,3.768439845,0.78892,0.726297857,17,230.0691422,1,5,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
N1C(=C2[C@H]([C@@H]([C@@H]3C(=C2)[C@@H](CN)CC3)C)C1)N1Cc2c(cccc2)C1=O,4.447998165,2.6344,0.873418881,25,335.1997624,2,3,0,TRUE,0,0,0,0,3,0.6,2,0.4,0,0,0,0,0,0,0,0,0,0,5,
c1c2c(CCCC=C2)cc2[C@@H](CNc12)C,3.523037938,3.5651,0.673276419,15,199.1360995,1,1,0,TRUE,0,0,0,0,1,0.333333333,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,3,
C12=CC(=N)N3C(=C[C@H](N=C3)c3cnccc3)O[C@@H]1Cc1nc(C)[nH]c1[C@@H]2C,5.137184766,3.00179,0.817889706,27,360.1698593,2,5,0,TRUE,0,0,0,0,1,0.2,3,0.6,1,0.2,0,0,0,0,0,0,0,0,5,
n1c(c2C=C(CCc2nc1)N(C)C1=C(C=CCC1)c1cc(ccc1)F)[C@H](C)O,3.969534462,4.6492,0.842642157,28,377.1903406,1,4,0,TRUE,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,
O1[C@H]([C@H]2NN[C@H]2c2ccccc2)[C@H]([C@H]2C1=NCC=C2)O,4.817306966,0.5483,0.687270942,20,271.1320768,3,5,0,TRUE,0,0,1,0.25,1,0.25,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
c1(ccc(O)c(c1)Cl)C1=CCC2=C(CC(C)(C)O2)C1,3.338743283,4.6758,0.807175109,19,276.0917075,1,2,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
CC1=CCC(=CC(=O)[C@@H]2CC3=C(N2)CN[C@H]3C(=O)C)C=C1,4.890747366,1.5649,0.772358553,21,284.1524779,2,4,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c12cnc(c(c2N[C@@H](S1)CN)F)C(=S)C,4.535109736,1.761,0.612114299,15,243.0300175,2,5,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
C=C1[C@@H](OCC)C[C@H]2C=CC(=NC=C12)C(=N)C1=CC[C@@H](C=N1)c1ccccc1C,4.972299794,5.33269,0.684123452,29,385.2154125,1,4,1,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
[C@H]12C(=C(CC=C1)C(C)C)CC1=C3CCC[C@@H]3ON21,4.721724146,3.725,0.650686518,18,243.1623143,0,2,0,TRUE,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,4,
C12=C(C=CC=CC1)C1=C(C3=C(C1)C=CCC=C3)NCN2,4.254384257,3.3774,0.69909285,20,262.1469986,2,2,0,TRUE,0,0,0,0,1,0.25,0,0,3,0.75,0,0,0,0,0,0,0,0,4,
CC1=NC(=C=C2C=CN=CC2)C=NC=N1,4.889445007,1.9149,0.533820687,15,198.0905463,0,4,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
C1C[C@H](C[C@H]1C(=S)CC)C(=O)C(C)C,3.784246814,3.4077,0.664292526,14,212.1234863,0,2,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
n1c(OC)c2c(nc1)nc(=C)c(=C(C1=CCC=C3[C@H]1C=C[C@@H](C(=O)O)C=C3)O)c2,4.810945383,1.8094,0.771438812,29,389.1375561,2,6,0,TRUE,0,0,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,4,
c1c2c(ccc1)CC1=C2N2C(=N[C@@H](C)C2)O1,3.912682315,2.0016,0.656753807,16,212.094963,0,3,0,TRUE,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,4,
C12=CC=C(F)CC1=C=C1C3=C[C@H](CC=C3N[C@@H]1CC[C@H]2Cl)CC,5.5595606,5.2348,0.512486706,23,329.1346556,1,1,1,TRUE,0,0,0,0,1,0.25,2,0.5,0,0,1,0.25,0,0,0,0,0,0,4,
C1C=CC=C2C=C(C=CC=C12)[C@@H]1C(=C(c2ccccc2)NC1)C,3.863480853,4.9459,0.814797372,23,299.1673997,1,1,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1(=N[C@H](C(=O)NC1=N)CN)C1=CCCC=N1,4.624956162,-0.38973,0.588339974,16,219.11201,3,5,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
C1=NC(=C)[C@H](c2ccccc2)C=N1,3.547422983,2.3966,0.617933556,13,170.0843983,0,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
C1C=Cc2oc3cnc(c4c(N)cccc4)cc3c2C=C1O,3.349536338,4.3928,0.651733667,22,290.1055277,2,4,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1CCN([C@H]2N=CC(=NC=C2)C(=O)O)C1,4.112232254,0.532,0.717992825,15,207.1007767,1,4,0,TRUE,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,2,
N1C=C2C=CC=C(C=C2CCC1)SC,3.951797284,2.9968,0.705991235,14,205.0925205,1,2,0,TRUE,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,
c1cc2c([C@H]3C(=C4C(=CC=C(F)C4)N=C3)C2)cc1,4.063517626,3.8483,0.649597341,18,237.0953776,0,1,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
c12nc(c(=O)[nH]c(=N)c2CC(=CC1)Cl)C,3.892562762,0.77909,0.682528334,15,223.0512396,2,3,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
C1=CN(c2ccccc2)N=C[C@H]1c1ccccc1,3.136692856,3.7899,0.771515987,18,234.1156984,0,2,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
o1c2c(c3c1[C@@H]([C@@H]1C(=C3)C=CCC=C1)O)ccc(F)n2,4.537075198,3.5296,0.587558846,20,269.0852068,1,3,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1C2=C([C@@H]([C@@H](C)N2)Cc2ccccc2)CC1,3.339448281,3.275,0.794696278,16,213.1517496,1,1,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
O=C(C1=C[C@H](C)[C@H]2C(=O)[C@@H]3NC4=N[C@@H]5[C@@H](CCCC5)CC4=C3C=C2C1)O,5.137878414,2.7919,0.760529538,26,352.1786926,2,4,0,TRUE,0,0,0,0,1,0.2,4,0.8,0,0,0,0,0,0,0,0,0,0,5,
C1=C=C2C=CCC=C[C@@H]2COC2=C1[C@]1(CC2)C=C2C=C(C=C[C@@H]2C(=O)N1)C,6.077356304,4.2056,0.521024618,27,357.172879,1,2,0,TRUE,0,0,0,0,1,0.2,2,0.4,1,0.2,1,0.2,0,0,0,0,0,0,5,
N1=C(C=CCC)N(C(=O)[C@H]2CC[C@@H](C2)C(=O)N)N[C@@H]1N=c1cccc(cc1)[C@@H](O)C,4.688313819,1.5373,0.657375306,30,411.2270398,3,6,0,TRUE,0,0,0,0,2,0.666666667,0,0,1,0.333333333,0,0,0,0,0,0,0,0,3,
C1N(C(=O)C)NC2=C[C@H]3[C@H]4C(=CC(=NC4=CC=C3)C3Cc4ccccc4C3)C=C12,4.686299962,3.6591,0.806919278,29,381.1841124,1,3,0,TRUE,0,0,0,0,2,0.333333333,3,0.5,1,0.166666667,0,0,0,0,0,0,0,0,6,
N1NC2=C3C(=CCC=C3)CC2=C1NCC,3.929450252,1.4594,0.632749343,15,201.1265975,3,3,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
C1[C@@H]2CNCC(=C3C(=O)c4ccccc4C3)CC[C@@H]2N(CCOCO)C1,3.814677543,1.7623,0.489050896,26,356.2099928,2,5,0,TRUE,0,0,0,0,2,0.5,1,0.25,0,0,1,0.25,0,0,0,0,0,0,4,
C1CN[C@H](C1)C1=CN=C2C(=CC3=C(C4=C(C3)C(=CCN3CCCCC3)[C@@H](OC)N4)C2)C1,4.925868752,3.7395,0.730292695,31,418.2732617,2,5,0,TRUE,0,0,0,0,3,0.5,3,0.5,0,0,0,0,0,0,0,0,0,0,6,
c1(cc2CN=C3C(=C=Cc2cc1OO)C[C@@H](c1ccccc1)N3)O,4.174838732,3.4292,0.450141011,24,320.1160924,3,5,0,TRUE,0,0,0,0,1,0.25,2,0.5,0,0,1,0.25,0,0,0,0,0,0,4,
c1(c([nH][nH]1)C1=CCC(=CC1)[C@H](C)C(=O)O)C1=CC=CCC=C1,4.441835219,4.0666,0.73310465,22,296.1524779,3,1,0,TRUE,0,0,1,0.333333333,0,0,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,3,
C1(=NC2=C[C@H]3[C@H]([N@@]4[C@@](O)(CCC4)C(=CC3)CC=CN3CCCC3)[C@H]([C@H]2N=C1)N)N=C1CC=CC=C1,5.802935286,3.1187,0.617864756,35,472.2950598,2,7,0,TRUE,0,0,0,0,2,0.333333333,3,0.5,1,0.166666667,0,0,0,0,0,0,0,0,6,
c1cc(O)cc2C[C@H]3C4=C(N[C@H]3c12)Oc1cccc2[C@@H]3[C@H](C[C@H]4c12)[C@H](C[C@@H]3F)NCN1CNCC1,5.309491834,3.2203,0.547956974,35,474.2431045,4,6,0,TRUE,0,0,0,0,4,0.5,4,0.5,0,0,0,0,0,0,0,0,0,0,8,
N1C(=O)[C@H]2c3c1nc1-c(cc(=N)nc1)cc3C[C@@H](CO)[C@H]2OC,4.472908282,0.27617,0.737758498,23,312.1222404,3,6,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1(=CC2=C(C[C@H](C3=CC=C([C@H](O)[C@@H]4N=CC=C[C@H]34)F)C2)O)C=CC=C[C@@H]1O,5.558051869,3.4015,0.700356479,27,367.1583718,3,4,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C12=C3[C@H](C(=N)[C@H]4C5=C6[C@@H](CCCCC[C@H]6C=C34)N=CC5)NN2[N@@]2[C@@H](OCO2)C1,5.954792316,2.60497,0.633189458,28,379.200825,2,7,0,TRUE,0,0,0,0,4,0.571428571,2,0.285714286,0,0,1,0.142857143,0,0,0,0,0,0,7,
C1C=C2[C@@H](CC3=C2ONC3=C2C=NC(=N)C=CC2)C(=C1)OCN,5.160476828,2.20407,0.681725319,23,310.1429758,3,5,0,TRUE,0,0,0,0,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,4,
c1(ccc(c(c1)N)NC(=O)c1ccccc1)C=N,2.040893254,2.51877,0.568052631,18,239.105862,3,3,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
N1([C@@H](C)[C@H]2[C@H](CC1=N)[C@@H](C)c1ccccc21)C(=O)[C@H]1CCCO1,4.340286238,3.28057,0.864946337,23,312.183778,1,3,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
c1(C)ccc([C@@H](O)[C@H]2NCc3cc4ncccc4cc23)cc1,3.197671296,3.42112,0.759874899,22,290.1419132,2,3,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
C(=C([C@@H]1C(=S)N=C(n2cc(C)c(=O)cc2)C1)CC(=O)OC)C,4.254505659,2.26002,0.487143512,22,318.1038134,0,5,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
C(=CC)Cc1cc(c2CC3=NC(=O)N4[C@H]([C@@H]3c2c1)CC[C@H]4C1=CC=C(C=CC1)C)O,4.913053699,5.3907,0.691699958,30,400.2150781,1,2,1,TRUE,0,0,0,0,2,0.4,2,0.4,1,0.2,0,0,0,0,0,0,0,0,5,
C1C(=C(C(=O)C2=CCC=C([C@@H]2F)NC(=O)C)CC1)C(=O)N1c2ccccc2CC1,3.822117523,3.3135,0.852065369,29,394.1692708,1,3,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
C1[C@@H]2C(=CC(=C1)C(=O)O)O[C@@H]1N(N=CC(=C1F)[C@H](NCC)C)C=C2,5.167463975,2.2942,0.825656064,24,333.1488697,2,5,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
C1C[C@H](C[C@H]1C=C1C2=C(N(C)N1)c1ccc3c(nc(CF)[nH]3)c1CC2)C(C)(C)C,4.483716865,5.486,0.708191001,29,394.2532752,2,3,1,TRUE,0,0,0,0,3,0.6,2,0.4,0,0,0,0,0,0,0,0,0,0,5,
C1=CC2=C(C=CC1)[C@@H](C)N(C=N2)CC,4.376527118,2.5089,0.617037986,14,188.1313485,0,2,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
N=C1C2=CCC(=N[C@H]2C=CN1)C,4.929082641,1.24017,0.551395305,12,161.0952974,2,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
[nH]1c(=NCN2[C@@H](C(=NC2)NC)OC)cc(Cl)cc1,4.69199542,0.3898,0.834372541,18,269.1043378,2,5,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c12c(c3ccccc3nc1)C[C@@H](OC)N2,3.252902623,2.1753,0.765679411,15,200.094963,1,3,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
C1CCCCC1C[C@H](O)C1=CC=NC(=C(CC)N1)Cl,3.837008425,3.6935,0.772516609,19,282.149891,2,3,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
FC1=c2ccccc2=C(F)[C@@H]1C(=C1CC=C(NC1)N(O)O)O,4.238814152,1.199,0.487836529,22,308.0972487,4,5,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
Nc1cnc2CC=C(Cc2c1)[C@@H]1CC=C([C@@H](F)C[C@H]1O)CNCC(F)F,4.715918034,2.5789,0.699838368,26,367.187147,3,4,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
N=C1NC(=C2C3=C(NC2)Oc2c(OC3)cc(OC)cc2)CN1C,3.586111102,1.00507,0.717795731,23,314.1378904,3,5,0,TRUE,0,0,0,0,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,4,
[C@H]12C=CC=C(c3c(cccc3)C)C=C2N[C@@H]2CCCC(=O)[C@@H]12,4.084553778,3.78932,0.852666937,22,291.1623143,1,2,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
N1=C(OC)C=C[C@H](C(=O)c2ccccc2)C1=O,3.23871196,1.6268,0.57171278,17,229.0738932,0,3,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c1ccc(c(c1)OC)C[C@@H]1CCC(=O)C1,2.481464454,2.6069,0.756121981,15,204.1150298,0,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c12=NC3=NC[C@]43c3ccccc3CC4=c2cc2S[C@H](Nc2n1)C,5.34320802,1.6353,0.803194264,23,318.0939174,1,5,0,TRUE,0,0,1,0.166666667,2,0.333333333,3,0.5,0,0,0,0,0,0,0,0,0,0,6,
C1=CCC=C2C1=C[C@H](C(=O)N=C2)C1=CC=C(N=CC1)F,4.83823876,3.2381,0.67301716,20,268.1011913,0,2,0,TRUE,0,0,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,3,
Oc1ccc(C(=N)[C@@H]2C(=C3C(=O)NN(O)[C@@H]3C2)O)cc1Cl,4.405377503,1.35007,0.528667187,21,309.0516335,5,6,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c1cc(ccc1C(=O)C)[C@H]1C=CC=C(C=C1)C(=N)C1=CCC(=N)N=C1,4.15575409,4.42314,0.622190227,25,329.1528122,2,3,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
[C@@H]12[C@H]3[C@@H](CC1=C1N([C@H]4c5cccc(Cl)c5NC4=NC1=N)C2)[C@](C)(O)CC1=NC(=N)C=C[C@@H]31,5.718570018,3.77694,0.486651041,32,446.162187,4,5,0,TRUE,0,0,0,0,3,0.428571429,4,0.571428571,0,0,0,0,0,0,0,0,0,0,7,
N1C(=C2NCCN2)Nc2c3=CC=C[C@H](C=c3cnc12)N,4.707571409,-1.3035,0.401845014,20,268.1436445,5,6,0,TRUE,0,0,0,0,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,4,
C12=NC(=N[C@@H]1CC1=CNCC3=C(C=C=C21)C=CCC=C3)c1ccc([C@@H]2NCCC2)cc1,5.402425782,4.4659,0.712397059,31,406.2157468,2,4,0,TRUE,0,0,0,0,3,0.5,1,0.166666667,1,0.166666667,0,0,1,0.166666667,0,0,0,0,6,
O(C)C1=CCC2=C(C1)N=C1C3=C(CCN1)[C@@H](CC(C)C)NN23,4.555206648,2.4165,0.840214866,22,300.1950114,2,5,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
O=c1ncccc(C2=C3C=CC4=C=C5CCN(C)[C@@H]5OCC=C4[C@H]3CN2)c1,5.054508848,2.012,0.777719147,27,359.1633769,1,5,0,TRUE,0,0,0,0,2,0.4,1,0.2,1,0.2,1,0.2,0,0,0,0,0,0,5,
C1(=Nc2nc(=N)n3C4=CC=C[C@@H]([C@H]4Cc3c2)NN)CC=CC=C1,5.241210534,1.36607,0.56891802,23,306.1592946,3,6,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
C1CCC=C(N=C1)[C@@H]1CN(NS1)C(=O)c1cc(c2nc([nH]c2c1)CCC)O,4.287603589,3.3368,0.702053656,27,385.157246,3,6,0,TRUE,0,0,0,0,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,4,
[C@@H]1(F)OC(=C2CCCNC2)C=C(C(=O)Nc2c3c(c(cc2)OC)OC[C@@H]3Cl)C1=N,4.521461143,3.21547,0.651567225,29,421.1204621,3,6,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
C1[C@@H](NC2=C1[C@@H](CCC)NN2)c1ccccc1,3.836584627,2.2091,0.743459474,17,229.1578976,3,3,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
C1[C@H](CCN[C@H](C1)c1ccccc1)c1ccccc1,2.568782827,4.285,0.839473984,19,251.1673997,1,1,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
[C@@H]1(N=C2C(=c3c(=CCN2)nc2nc([nH]c2c3)C)C=N1)CN(C)CC,4.721813467,-0.43858,0.802430555,24,323.1858437,2,6,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1=C2C=CC=C([C@@H]2[C@H](C(=C1)NN=c1ccc(=O)[nH]cn1)C)F,4.736853886,1.6746,0.8160797,22,298.1229893,2,4,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
c1c(O)ccc([C@H]2C[C@@H](N)OC2=O)c1,3.423469779,0.7075,0.644021583,14,193.0738932,2,4,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c12CNc3c4[nH]c5cccnc5c4ccc3-c2c(CN(C(=O)CCC)C)cnc1,3.131520416,4.4621,0.543818069,29,385.1902604,2,4,0,TRUE,0,0,0,0,1,0.2,4,0.8,0,0,0,0,0,0,0,0,0,0,5,
[C@H]1(C=c2c(C=N1)cc1=CC(=O)O[C@H](C)c1c2)COC,4.786991194,0.3129,0.716565893,19,257.1051933,0,4,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
N=C1[C@@H]2C(=CC3=CC(=N)N=NC3=N1)N=NCC=N2,5.678140686,1.53434,0.637439937,18,240.0871923,2,6,0,TRUE,0,0,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,3,
N([C@@H]1C=C2C=CC=N[C@H]2C=C1O)C1=C[C@@H]([C@H](C=C1)F)F,5.604486409,2.4656,0.8134634,20,276.1074195,2,3,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
c1cc2C(=O)[C@@H](NO)Cc2c(c1)C,3.179669744,1.08122,0.630959977,13,177.0789786,2,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
C12=C(N3N(c4nc5n(c4C3)c3c(C=CC=CC3)[nH]5)N1)CC=C(C2)F,4.760722078,2.7019,0.782947131,24,322.1342227,2,5,0,TRUE,0,0,0,0,4,0.666666667,1,0.166666667,1,0.166666667,0,0,0,0,0,0,0,0,6,
c1c(cncc1)[C@H](CO)N1CC(=C)c2c(c3c(cccc3C)[nH]2)CC1,3.327925461,3.47622,0.771472957,25,333.1841124,2,3,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
c1c(cccc1CF)C1=C(O)[C@@H]([C@@H]2C=CCC=C2)C=NC1,4.074273551,4.2581,0.826008024,21,283.1372424,1,2,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
c12-c(c(cccc1)C)cc(c2)C,1.438934774,3.40824,0.548005209,12,156.0939004,0,0,0,TRUE,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,2,
c1(ccccc1)C1=C2C(=C3[C@@H]([C@H]4[C@H](C=C3)[C@@H](CN[C@H](C=C4)OCN)C(F)F)C2)CN1,5.159632528,3.4192,0.524981441,30,411.2122189,3,4,0,TRUE,0,0,0,0,2,0.4,2,0.4,0,0,1,0.2,0,0,0,0,0,0,5,
C12=C(F)CC(=C3Cc4c(cccc4)C3)C=C2C(=N)CN1,3.769025875,3.21597,0.742844205,20,266.1219267,2,2,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
C1c2c([C@@H](CN)N1)cccc2,2.933531773,0.7896,0.617600211,11,148.1000484,2,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
N1[C@@H]2C(=CC=C3C4=C(C=CCC=C4)C(=O)N=C23)[C@@H](N1)C,4.975864588,1.5116,0.697843627,20,265.1215121,2,3,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
c12oc3c(c1cc(O)cc2)CC(=O)C3=C1C=CCC=C1,3.23845797,3.5333,0.740380019,20,264.0786442,1,3,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
c1c(cccc1C1=CN[C@@H](S1)C)Cl,3.535581075,3.3208,0.765099296,13,211.022248,1,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
C12=NC(=C(C(=O)[C@H]1NC1=C2C=C([C@@H]([C@H]1C)[C@H](CO)C)C(C)C)O)C,5.060988387,2.5022,0.74244281,24,330.1943427,3,5,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
COc1ccc(cc1)[C@H](O)CC,2.01420687,2.1386,0.745019976,12,166.0993797,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
O1c2c(NC(=N)C1)cc(cn2)c1cccc(F)c1,2.92666868,2.66927,0.809112164,18,243.0807902,2,3,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
C12=NN=C3[C@H](C4=C5C3=NC=CN5C3=C(C4)C(=O)NC(=N)C3)N[C@H]1CC(=C2C)C(=O)O,5.434256766,0.57907,0.506475483,30,403.1392874,4,8,0,TRUE,0,0,0,0,2,0.333333333,3,0.5,1,0.166666667,0,0,0,0,0,0,0,0,6,
